issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
169,NSF.gov —,https://nsf.gov/,https://www.nsf.gov/,200,true,true,12029,true,1032,67,1,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,1010,2,26,45,landmark-complementary-is-top-level;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),50,,NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/reports/statistics/federal-science-engineering-support-higher-education,https://www.nsf.gov/reports/statistics/federal-science-engineering-support-higher-education,403,false,true,5430,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/reports/statistics/federal-science-engineering-support-higher-education-0,https://www.nsf.gov/reports/statistics/federal-science-engineering-support-higher-education-0,403,false,true,5339,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/reports/statistics/federal-science-engineering-support-universities-colleges,https://www.nsf.gov/reports/statistics/federal-science-engineering-support-universities-colleges,403,false,true,5334,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/reports/statistics/federal-science-engineering-support-universities-colleges-0,https://www.nsf.gov/reports/statistics/federal-science-engineering-support-universities-colleges-0,403,false,true,5386,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/science-matters/nsf-101-agency-accessibility-resources,https://www.nsf.gov/science-matters/nsf-101-agency-accessibility-resources,403,false,true,5375,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/funding/information/dcl-request-community-input-cyberinfrastructure-support/nsf06-007,https://www.nsf.gov/funding/information/dcl-request-community-input-cyberinfrastructure-support/nsf06-007,403,false,true,5498,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/funding/opportunities/dcl-growing-post-award-research-support-service-infrastructure/nsf23-152,https://www.nsf.gov/funding/opportunities/dcl-growing-post-award-research-support-service-infrastructure/nsf23-152,403,false,true,5388,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/funding/opportunities/dcl-supporting-transition-practice-supplemental-funding-requests/nsf19-026,https://www.nsf.gov/funding/opportunities/dcl-supporting-transition-practice-supplemental-funding-requests/nsf19-026,403,false,true,5367,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/geo/opp/updates/request-information-antarctic-science-engineering-support,https://www.nsf.gov/geo/opp/updates/request-information-antarctic-science-engineering-support,403,false,true,5341,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
169,NSF.gov —,https://nsf.gov/geo/opp/updates/request-information-transport-aircraft-support-nsf,https://www.nsf.gov/geo/opp/updates/request-information-transport-aircraft-support-nsf,403,false,true,5362,true,45,1,1,66,https://alfa.siteimprove.com/rules/sia-r66,,true,36,0,0,67,,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Request blocked | NSF - U.S. National Science Foundation
